numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
14503,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:36:49,,,0
14544,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:36:49,,,0
14545,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:35:24,,,0
14546,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.218,51","1.218,51",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:35:24,,,0
13250,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
13251,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
13252,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
13253,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
14547,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.269,99","1.269,99",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:33:59,,,0
13255,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
13256,BAIXADO,SWITCH,SWITCH GERENCIAVEL HP V1910-48G,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,06/07/2012,"2.950,00","2.362,94",,,,,,,1
13257,BAIXADO,SOFTWARE IMOBILIZADO,SOFTWARE MICROSOFT WINDOWS SERVER 2008,SISTEMAS DE PROCESSAMENTO DE DADOS,,06/07/2012,"6.130,00","6.130,00",,,,,,,0
13258,BAIXADO,SOFTWARE IMOBILIZADO,SOFTWARE MICROSOFT WINDOWS SERVER 2008,SISTEMAS DE PROCESSAMENTO DE DADOS,,06/07/2012,"6.130,00","6.130,00",,,,,,,0
13259,BAIXADO,SOFTWARE IMOBILIZADO,SOFTWARE MICROSOFT WINDOWS SERVER 2008,SISTEMAS DE PROCESSAMENTO DE DADOS,,06/07/2012,"6.130,00","6.130,00",,,,,,,0
13260,BAIXADO,SOFTWARE IMOBILIZADO,SOFTWARE MICROSOFT WINDOWS SERVER 2008,SISTEMAS DE PROCESSAMENTO DE DADOS,,06/07/2012,"6.130,00","6.130,00",,,,,,,0
13261,BAIXADO,SOFTWARE IMOBILIZADO,SOFTWARE MICROSOFT WINDOWS SERVER 2008,SISTEMAS DE PROCESSAMENTO DE DADOS,,06/07/2012,"6.130,00","6.130,00",,,,,,,0
13262,BAIXADO,NOTEBOOK,NOTEBOOK HP PROBOOK 6360B CORE 15-2520M 500MB 4GB,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,14/08/2012,"3.522,25","2.231,07",,,,,,,1
13263,BAIXADO,NOTEBOOK,NOTEBOOK HP PROBOOK 6360B CORE 15-2520M 500MB 4GB,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,14/08/2012,"3.522,25","2.231,07",,,,,,,1
13264,BAIXADO,SCANNER,SCANNER DEPARTAMENTAL AVSION AV 186+COM MESA DIGITALIZADORA,EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,EM PROCESSO DE LOCALIZAÇÃO,07/12/2012,"1.165,00","0,00",,,,,,,1
14548,ATIVO,CADEIRA,CADEIRA GIRATÓRIA FLEXFORM TECTON,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,09 - CDPROF,13/12/2021,"1.270,00","1.270,00",09 - CDPROF,Bom,Ana Beatriz,2025-12-18 12:33:59,,,0
13266,BAIXADO,NOTEBOOK,"NOTEBOOK PROBOOK HP 6360B, COM 1 MINI MOUSE E 1 MALETA.",EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,08/01/2013,"3.522,25","2.741,38",,,,,,,1
13267,BAIXADO,NOTEBOOK,"NOTEBOOK PROBOOK HP 6360B, COM 1 MINI MOUSE E 1 MALETA.",EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,08/01/2013,"3.522,25","2.741,38",,,,,,,1
13268,BAIXADO,NOTEBOOK,"NOTEBOOK PROBOOK HP 6360B, COM 1 MINI MOUSE E 1 MALETA.",EQUIPAMENTOS DE PROCESSAMENTO DE DADOS,BENS TI PARA ALIENAÇÃO 2024,08/01/2013,"3.522,25","2.741,38",,,,,,,1
